scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG8,19700001,19800000,19747683,7148,4180,165.4681,63.0514,0.4482,0.2026,0.1218
LG8,19800001,19900000,19846189,8866,4758,228.0326,129.8659,0.2743,0.1315,0.0715
LG8,19900001,20000000,19953404,7433,3630,161.9668,121.3262,0.1435,0.0564,0.0388
LG8,20000001,20100000,20051341,10654,4649,88.5885,74.9896,0.0831,0.0153,0.0099
LG8,20100001,20200000,20141966,6403,3576,32.2917,38.0781,-0.0822,-0.0108,-0.0071
LG8,20200001,20300000,20227309,3509,2067,91.9824,34.7168,0.452,0.1485,0.1099
LG9,1,100000,50020,5529,2790,167.1953,32.6068,0.6736,0.243,0.146
LG9,100001,200000,149481,6015,2981,72.9316,39.0254,0.3029,0.0666,0.0368
LG9,200001,300000,250755,4962,2691,68.276,29.4792,0.3969,0.0663,0.0452
LG9,300001,400000,347375,5383,2867,32.3203,15.8203,0.3427,0.03,0.0208
LG9,400001,500000,447942,5544,3180,27.526,27.4948,0.0006,0.0001,0.0
LG9,500001,600000,550446,4377,2421,11.0938,8.3021,0.1439,0.0058,0.0039
LG9,600001,700000,649609,4731,2516,43.9785,22.6035,0.321,0.0475,0.027
LG9,700001,800000,749341,4001,2022,17.0872,73.6966,-0.6236,-0.1551,-0.0914
LG9,800001,900000,850244,5502,2959,78.5547,24.7266,0.5212,0.1166,0.0734
LG9,900001,1000000,947576,6425,3635,44.2272,37.1178,0.0874,0.0122,0.0078
LG9,1000001,1100000,1050720,6563,3733,107.7103,40.6061,0.4524,0.0981,0.0647
LG9,1100001,1200000,1149008,6301,3513,150.1426,80.7936,0.3003,0.0993,0.057
LG9,1200001,1300000,1251714,6498,3518,92.1146,39.8802,0.3957,0.0944,0.0622
LG9,1300001,1400000,1349248,6350,3596,63.2461,73.9023,-0.0777,-0.0183,-0.011
LG9,1400001,1500000,1452895,5872,3431,73.6895,76.3717,-0.0179,-0.004,-0.0024
LG9,1500001,1600000,1548692,6548,3674,110.8919,69.3763,0.2303,0.0726,0.0416
LG9,1600001,1700000,1650336,6490,3578,164.5462,21.4785,0.7691,0.2701,0.1492
LG9,1700001,1800000,1750315,6135,3311,92.9421,32.5098,0.4817,0.1121,0.0674
LG9,1800001,1900000,1850397,6756,4067,137.5885,123.526,0.0539,0.0217,0.0119
LG9,1900001,2000000,1947779,7001,3893,51.4316,62.4525,-0.0968,-0.0186,-0.0121
LG9,2000001,2100000,2050696,6628,3714,87.2799,75.3893,0.0731,0.016,0.0105
LG9,2100001,2200000,2150718,7073,4015,60.1628,42.8607,0.1679,0.0309,0.0191
LG9,2200001,2300000,2248708,6651,3525,115.5592,67.0592,0.2656,0.0704,0.0428
LG9,2300001,2400000,2353139,6561,3336,65.7246,83.3809,-0.1184,-0.0316,-0.0195
LG9,2400001,2500000,2449548,5393,2880,76.8737,31.9622,0.4127,0.1139,0.0591
LG9,2500001,2600000,2553728,5672,2991,88.9837,35.2025,0.4331,0.1186,0.0735
LG9,2600001,2700000,2650189,5848,2970,43.7747,27.5768,0.227,0.0304,0.0208
LG9,2700001,2800000,2749406,5867,3430,42.6888,28.2409,0.2037,0.029,0.0179
LG9,2800001,2900000,2851688,6698,3928,53.5026,42.3568,0.1163,0.0185,0.0117
LG9,2900001,3000000,2948661,6234,3439,90.9167,40.6302,0.3823,0.0847,0.0516
LG9,3000001,3100000,3049994,6425,3310,197.946,32.4095,0.7186,0.2745,0.1551
LG9,3100001,3200000,3149341,6549,3609,106.5436,36.5176,0.4895,0.1148,0.0713
LG9,3200001,3300000,3248421,6054,3512,158.4779,33.7435,0.6489,0.2937,0.1398
LG9,3300001,3400000,3347222,6749,3874,97.7038,58.2507,0.253,0.062,0.0365
LG9,3400001,3500000,3451058,5727,3210,61.1641,47.7786,0.1229,0.0247,0.0162
LG9,3500001,3600000,3550977,6122,3390,55.2598,135.5306,-0.4207,-0.1946,-0.1078
LG9,3600001,3700000,3648065,6804,3804,111.8027,65.1621,0.2636,0.0817,0.0483
LG9,3700001,3800000,3749843,5773,3438,71.416,27.6608,0.4416,0.0857,0.0523
LG9,3800001,3900000,3849761,5941,3385,66.8118,64.9316,0.0143,0.0042,0.0024
LG9,3900001,4000000,3949656,5518,3182,84.4421,37.8379,0.3811,0.0783,0.0485
LG9,4000001,4100000,4042584,5764,3385,63.0566,57.515,0.046,0.013,0.0069
LG9,4100001,4200000,4150531,5786,3565,64.2552,43.6979,0.1904,0.049,0.0284
LG9,4200001,4300000,4247083,5158,2800,93.5911,39.0182,0.4115,0.1183,0.0741
LG9,4300001,4400000,4351299,6014,3342,117.3594,24.5833,0.6536,0.184,0.1043
LG9,4400001,4500000,4449929,5452,2963,74.2663,46.1517,0.2335,0.0618,0.0352
LG9,4500001,4600000,4551866,6066,3257,71.4414,72.6706,-0.0085,-0.002,-0.0012
LG9,4600001,4700000,4650225,5858,3247,76.9857,38.5117,0.3331,0.072,0.0446
LG9,4700001,4800000,4752592,5686,2995,282.4967,27.2988,0.8238,0.4312,0.2459
LG9,4800001,4900000,4850325,6161,3547,134.4798,51.7194,0.4445,0.1597,0.086
LG9,4900001,5000000,4952420,7298,3823,98.9714,75.0339,0.1376,0.0513,0.0251
LG9,5000001,5100000,5048322,6959,3813,51.804,61.2572,-0.0836,-0.021,-0.0116
LG9,5100001,5200000,5153231,6214,3508,104.9486,35.0423,0.4994,0.133,0.0808
LG9,5200001,5300000,5249661,7079,3997,50.0658,75.6178,-0.2033,-0.0393,-0.0234
LG9,5300001,5400000,5350631,7467,4207,54.2923,43.8913,0.1059,0.0185,0.0102
LG9,5400001,5500000,5450171,6466,3548,148.5534,60.3659,0.4221,0.2104,0.1065
LG9,5500001,5600000,5546513,6805,3898,149.2806,35.7702,0.6134,0.2008,0.1234
LG9,5600001,5700000,5652813,7258,4114,104.6914,71.1549,0.1907,0.0456,0.0311
LG9,5700001,5800000,5751716,7026,4113,72.8958,94.3438,-0.1282,-0.0326,-0.0203
LG9,5800001,5900000,5847899,7191,4119,70.8854,48.6771,0.1857,0.0365,0.0225
LG9,5900001,6000000,5950637,5885,3229,73.4824,48.8939,0.2009,0.0407,0.0246
LG9,6000001,6100000,6055144,5884,3188,127.7285,48.1243,0.4527,0.1536,0.0848
LG9,6100001,6200000,6148205,6984,3689,107.1478,54.7467,0.3237,0.0936,0.0517
LG9,6200001,6300000,6253747,5414,3053,80.9342,50.6947,0.2297,0.0683,0.0362
